훈련년도,훈련차수,훈련과정명,훈련과정명(영문),훈련시작일자,훈련종료일자,훈련가능인원수,훈련시간,훈련기관명,전화번호,주소,훈련내용
2021,1,2021년 하반기 재직 외국인근로자 직업능력개발훈련(A반,Electricity and Electronic,2021-10-30,2021-12-19,9,48,서울공과전기학원,02-2676-1113,서울특별시 영등포구 당산동 2가 2번지 재원빌딩 6층,전기설비 교육
2021,2,2021년 하반기 재직 외국인근로자 직업능력개발훈련(B반 ),Electricity and Electronic,2021-11-06,2021-12-19,9,48,서울공과전기학원,02-2676-1113,서울특별시 영등포구 당산동 2가 2번지 재원빌딩 6층,전기설비 교육
2021,1,전기전자,Electricity and Electronic,2021-10-30,2021-12-19,18,48,대양전기직업전문학교,02-907-7114,서울 도봉부 노해로 63길 51 상아프라자 3층,"전선, 배선 실습 등"
2021,1,전기설비,electric installation[equipment],2021-11-13,2021-12-12,27,48,동천안희망직업전문학교,041-557-0064,충남 천안시 동남구 대흥로 145,전기설비
2021,2,전기TIG용접,"electric welding, Tungsten Inert Gas welding",2021-11-13,2021-12-12,18,48,충남산업기술학원,041-554-0997,천안시 동남구 삼룡4길 36-13,"전기용접, TIG용접"
2022,1,자동차정비,Car Maintenance,2022-07-17,2022-09-04,30,48,한독자동차정비학원,02-926-8146,서울특별시 동대문구 왕산로 31(신설동),"엔진분해조립, 냉각장치 정비, 윤활장치 정비, 연료장치 정비, 배출가스 정비, 디젤엔진 정비"
2022,2,재직자 NCS 기반 찾아가는 한국어 훈련,The Language Course of Korean,2022-08-22,2022-12-10,4,48,(주)케이아이씨,031-998-1740,경기도 김포시 양촌읍 황금로 273번길 15,"재직자 NCS 기반 찾아가는 한국어 훈련, NCS 직업기초능력 한국어 교육NCS기반으로 제작된 한국어 직업훈련 및 귀국의식 함양교육 등"
2022,3,2022년 재직 외국인근로자 직업훈련 전기·전자(A),2022 E-9 TRAINING FOR ELECTRICITY AND ELECTRONIC(A),2022-08-28,2022-10-23,30,48,서울공과 전기학원,02-2676-1114,서울특별시 영등포구 당산로 67(당산2가),
2022,4,귀국예정자 재정착지원 교육훈련-한국어자격취득과정,The Language Course of Korean,2022-09-04,2022-11-27,60,60,한국외국인노동자지원센터,02-6900-8000,"서울 구로구 남부순환로 1291 B동 1,3,4층",
2022,5,2022년 재직 외국인근로자 직업훈련 자동차정비(B),2022 E-9 TRAINING FOR CAR MAINTENANCE(B),2022-09-18,2022-11-06,30,48,한독자동차정비학원,02-926-8146,서울특별시 동대문구 왕산로 31,"엔진 분해조립타이밍벨트 교환작업냉각수 압력 및 라디에이터 교환엔진오일 및 필터 교환센서류 점검 및 자가진단CO, HC 배출가스 검사분사펌트 탈부착CRDI 엔진 전자제어장치/수료"
2022,6,2022년 재직 외국인근로자 직업훈련 자동차정비(C),2022 E-9 TRAINING FOR CAR MAINTENANCE(C),2022-09-18,2022-11-06,30,48,한독자동차정비학원,02-926-8146,서울특별시 동대문구 왕산로 31,"엔진 분해조립타이밍벨트 교환작업냉각수 압력 및 라디에이터 교환엔진오일 및 필터 교환센서류 점검 및 자가진단CO, HC 배출가스 검사분사펌트 탈부착엔진 전자제어장치/수료"
2022,7,2022년 귀국예정자 취·장업 직업훈련 자동차정비(A),2022  CAR MAINTENANCE(A),2022-09-25,2022-12-11,30,60,한국자동차정비학원,02-707-0070,서울특별시 용산구 한강대로 375번지,엔진오일 교환윤활장치 정비연료장치 정비엔진본체 정비전기장치 이해등화장치 정비시동장치 정비충전장치 정비제동장치 정비
